,time,gene,well,fluorescence,fluorescence_normed
438,21900,cgre,D1,11675.0,0.914180565343356
439,21950,cgre,D1,11942.0,0.9350873071803304
440,22000,cgre,D1,11927.0,0.9339127711220735
441,22050,cgre,D1,12156.0,0.9518440216114634
442,22100,cgre,D1,12055.0,0.9439354788191997
443,22150,cgre,D1,11918.0,0.9332080494871192
444,22200,cgre,D1,12207.0,0.9558374442095372
445,22250,cgre,D1,12052.0,0.9437005716075484
446,22300,cgre,D1,12137.0,0.9503562759376712
447,22350,cgre,D1,12120.0,0.9490251350716467
448,22400,cgre,D1,11852.0,0.9280400908307885
449,22450,cgre,D1,12113.0,0.9484770182444601
450,22500,cgre,D1,12328.0,0.9653120350794769
451,22550,cgre,D1,11940.0,0.9349307023725628
452,22600,cgre,D1,12139.0,0.9505128807454389
453,22650,cgre,D1,11857.0,0.9284316028502075
454,22700,cgre,D1,11809.0,0.9246730874637852
455,22750,cgre,D1,11998.0,0.9394722417978232
456,22800,cgre,D1,11973.0,0.9375146817007282
457,22850,cgre,D1,12093.0,0.9469109701667842
458,22900,cgre,D1,11923.0,0.9335995615065382
459,22950,cgre,D1,12194.0,0.9548195129590479
460,23000,cgre,D1,12325.0,0.9650771278678255
461,23050,cgre,D1,11766.0,0.9213060840967817
462,23100,cgre,D1,11959.0,0.936418448046355
463,23150,cgre,D1,11738.0,0.9191136167880354
464,23200,cgre,D1,12048.0,0.9433873619920131
465,23250,cgre,D1,12190.0,0.9545063033435126
466,23300,cgre,D1,11961.0,0.9365750528541226
467,23350,cgre,D1,12160.0,0.9521572312269987
468,23400,cgre,D1,11872.0,0.9296061389084644
469,23450,cgre,D1,12085.0,0.9462845509357137
470,23500,cgre,D1,11750.0,0.920053245634641
471,23550,cgre,D1,11932.0,0.9343042831414925
472,23600,cgre,D1,12033.0,0.9422128259337562
473,23650,cgre,D1,12031.0,0.9420562211259885
474,23700,cgre,D1,12252.0,0.9593610523843082
475,23750,cgre,D1,11904.0,0.932111815832746
476,23800,cgre,D1,12094.0,0.9469892725706679
477,23850,cgre,D1,12185.0,0.9541147913240936
478,23900,cgre,D1,12119.0,0.9489468326677629
479,23950,cgre,D1,12121.0,0.9491034374755305
480,24000,cgre,D1,11974.0,0.937592984104612
481,24050,cgre,D1,12183.0,0.953958186516326
482,24100,cgre,D1,12005.0,0.9400203586250098
483,24150,cgre,D1,12062.0,0.9444835956463864
484,24200,cgre,D1,12244.0,0.9587346331532378
485,24250,cgre,D1,11954.0,0.936026936026936
486,24300,cgre,D1,12126.0,0.9494949494949495
487,24350,cgre,D1,12230.0,0.9576383994988646
488,24400,cgre,D1,12051.0,0.9436222692036645
489,24450,cgre,D1,11932.0,0.9343042831414925
490,24500,cgre,D1,11841.0,0.9271787643880667
491,24550,cgre,D1,11971.0,0.9373580768929606
